timestep,reward,source
8704,-1503.0128173828125,train
8704,-2063.836669921875,train
8704,-3138.22412109375,train
8704,-1395.6466064453125,train
8704,-1204.267822265625,train
8704,-1415.354248046875,train
8704,-1026.745361328125,train
8704,-1321.91259765625,train
8704,-1373.0970458984375,train
8704,-2514.776123046875,train
8704,-1866.359130859375,train
8704,-2053.8828125,train
8704,-1715.7174072265625,train
8704,-1384.7119140625,train
8704,-1538.558349609375,train
8704,-1819.4423828125,train
8704,-1562.499267578125,train
8704,-2442.7080078125,train
8704,-1411.160400390625,train
8704,-2792.65673828125,train
8704,-1092.9393310546875,train
8704,-1663.4993896484375,train
8704,-932.5164794921875,train
8800,-2283.7197265625,train
8800,-1792.056396484375,eval
9040,-2283.7197265625,eval
9040,-2302.280029296875,train
9216,-1989.7620849609375,train
9216,-2307.655029296875,train
9216,-1089.8031005859375,train
9216,-4392.95361328125,train
9216,-1525.31005859375,train
9216,-995.5803833007812,train
9216,-1281.8616943359375,train
9216,-1793.2288818359375,train
9216,-2067.597900390625,train
9216,-1674.9320068359375,train
9216,-1509.7066650390625,train
9216,-2447.559326171875,train
9216,-3106.74267578125,train
9216,-2064.199951171875,train
9216,-1393.705810546875,train
9216,-1227.0509033203125,train
9216,-1867.825927734375,train
9216,-2459.4501953125,train
9216,-216.44094848632812,train
9216,-1026.6539306640625,train
9216,-2778.44580078125,train
9216,-1585.7353515625,train
9216,-1465.6912841796875,train
9216,-988.240966796875,train
9216,-1706.228515625,train
9216,-2290.664306640625,train
9216,-2880.32177734375,train
9216,-1389.10986328125,train
9216,-1396.3284912109375,train
9216,-1119.309814453125,train
9216,-2051.55712890625,train
9216,-1209.22998046875,train
9216,-1981.9132080078125,train
9216,-1479.8536376953125,train
9216,-1298.8631591796875,train
9216,-1657.5537109375,train
9216,-2469.2890625,train
9216,-1693.169921875,train
9216,-1841.9605712890625,train
9216,-1415.1177978515625,train
9280,-2302.280029296875,eval
9280,-1965.1153564453125,train
9520,-1965.1153564453125,eval
9520,-1568.365234375,train
9728,-2297.5009765625,train
9728,-2070.570556640625,train
9728,-2504.255859375,train
9728,-1807.4073486328125,train
9728,-1822.443603515625,train
9728,-1580.587158203125,train
9728,-2884.251708984375,train
9728,-1424.5025634765625,train
9728,-908.7750244140625,train
9728,-1488.434326171875,train
9728,-2335.130615234375,train
9728,-1213.3778076171875,train
9728,-1162.545654296875,train
9728,-1101.49169921875,train
9728,-2469.2890625,train
9728,-1682.79541015625,train
9728,-1012.8052978515625,train
9728,-2785.436767578125,train
9728,-1650.345947265625,train
9728,-4338.94921875,train
9728,-2008.725830078125,train
9728,-3096.928466796875,train
9728,-1406.1019287109375,train
9728,-2028.455078125,train
9728,-1281.7060546875,train
9728,-1166.2581787109375,train
9728,-1969.626953125,train
9728,-149.5648651123047,train
9728,-1837.2738037109375,train
9728,-2036.4830322265625,train
9728,-1695.6651611328125,train
9728,-971.9912109375,train
9728,-1673.7159423828125,train
9728,-1518.5748291015625,train
9728,-1517.582763671875,train
9728,-1283.5177001953125,train
9728,-1363.5814208984375,train
9728,-1412.3905029296875,train
9728,-2464.377197265625,train
9728,-1480.29248046875,train
9760,-1568.365234375,eval
9760,-3147.606689453125,train
10000,-3147.606689453125,eval
10000,-1000.0,train
10240,-2876.42431640625,train
10240,-1137.947021484375,train
10240,-1509.0673828125,train
10240,-3096.928466796875,train
10240,-1820.940673828125,train
10240,-1990.9521484375,train
10240,-1408.031494140625,train
10240,-882.7362060546875,train
10240,-1493.44482421875,train
10240,-2351.696533203125,train
10240,-2054.26708984375,train
10240,-1704.4122314453125,train
10240,-1170.559814453125,train
10240,-2469.750244140625,train
10240,-1694.62890625,train
10240,-995.21240234375,train
10240,-2795.896484375,train
10240,-4297.40234375,train
10240,-1656.585205078125,train
10240,-1086.107177734375,train
10240,-2476.379150390625,train
10240,-1534.0250244140625,train
10240,-1405.281494140625,train
10240,-2516.93505859375,train
10240,-1838.0836181640625,train
10240,-2296.020751953125,train
10240,-2069.731201171875,train
10240,-1373.7547607421875,train
10240,-1523.07373046875,train
10240,-1017.8814697265625,train
10240,-2008.2349853515625,train
10240,-125.79591369628906,train
10240,-1839.998046875,train
10240,-2046.5888671875,train
10240,-1678.7410888671875,train
10240,-1457.293212890625,train
10240,-1257.697998046875,train
10240,-1375.236328125,train
10240,-1297.3587646484375,train
10240,-1240.8197021484375,train
